"Rank","Author","Genre","AuthorAvg","Title","SeriesName","SeriesNum","PubYear","Pages","AgeCategory","AvgRating","ReviewCount","Url"
"4","Art Spiegelman","Other","4.47","The Complete Maus",,,"1980","296",,"4.58","249211","https://www.goodreads.com/book/show/15195.The_Complete_Maus"
"4","Art Spiegelman","Other","4.47","Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)","Maus,","1","1986","159",,"4.39","369589","https://www.goodreads.com/book/show/15196.Maus_I"
"4","Art Spiegelman","Other","4.47","Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)","Maus,","2","1991","144",,"4.43","157005","https://www.goodreads.com/book/show/15197.Maus_II"
"5","J. Zachary Pike","Fantasy","4.38","Orconomics (The Dark Profit Saga, #1)","The Dark Profit Saga,","1","2014","340",,"4.28","9645","https://www.goodreads.com/book/show/25326486-orconomics"
"5","J. Zachary Pike","Fantasy","4.38","Son of a Liche (The Dark Profit Saga, #2)","The Dark Profit Saga,","2","2018","618",,"4.42","4858","https://www.goodreads.com/book/show/39977753-son-of-a-liche"
"5","J. Zachary Pike","Fantasy","4.38","Dragonfired (The Dark Profit Saga, #3)","The Dark Profit Saga,","3","2023",,,"4.44","2091","https://www.goodreads.com/book/show/42921438-dragonfired"
"6","Pierce Brown","Science-Fiction","4.37","Red Rising (Red Rising Saga, #1)","Red Rising Saga,","1","2014","382","Young Adult","4.27","704042","https://www.goodreads.com/book/show/15839976-red-rising"
"6","Pierce Brown","Science-Fiction","4.37","Golden Son (Red Rising Saga, #2)","Red Rising Saga,","2","2015","466","Young Adult","4.49","431087","https://www.goodreads.com/book/show/18966819-golden-son"
"6","Pierce Brown","Science-Fiction","4.37","Morning Star (Red Rising Saga, #3)","Red Rising Saga,","3","2016","525","Young Adult","4.54","352537","https://www.goodreads.com/book/show/18966806-morning-star"
"6","Pierce Brown","Science-Fiction","4.37","Iron Gold (Red Rising Saga, #4)","Red Rising Saga,","4","2018","602","Young Adult","4.21","161683","https://www.goodreads.com/book/show/33257757-iron-gold"
"6","Pierce Brown","Science-Fiction","4.37","Dark Age (Red Rising Saga, #5)","Red Rising Saga,","5","2019","704","Young Adult","4.5","115799","https://www.goodreads.com/book/show/29226553-dark-age"
"6","Pierce Brown","Science-Fiction","4.37","Light Bringer (Red Rising Saga, #6)","Red Rising Saga,","6","2023","682","Young Adult","4.76","87822","https://www.goodreads.com/book/show/29227774-light-bringer"
"6","Pierce Brown","Science-Fiction","4.37","Red Rising: Sons of Ares #1 (Sons of Ares, #1)","Sons of Ares,","1","2017","32","Young Adult","4.04","3241","https://www.goodreads.com/book/show/31178398-red-rising"
"6","Pierce Brown","Science-Fiction","4.37","Red Rising: Sons of Ares #2 (Sons of Ares, #2)","Sons of Ares,","2","2017","30","Young Adult","4.16","1454","https://www.goodreads.com/book/show/34884623-red-rising"
"6","Pierce Brown","Science-Fiction","4.37","Red Rising: Sons of Ares #3 (Sons of Ares, #3)","Sons of Ares,","3","2017","29","Young Adult","4.23","1103","https://www.goodreads.com/book/show/35392051-red-rising"
"6","Pierce Brown","Science-Fiction","4.37","Red Rising (1 of 2) [Dramatized Adaptation] (Red Rising Saga #1)","Red Rising Saga","1","2023",,"Young Adult","4.38","1117","https://www.goodreads.com/book/show/199598075-red-rising-1-of-2-dramatized-adaptation"
"6","Pierce Brown","Science-Fiction","4.37","Red Rising: Sons of Ares Vol. 3: Forbidden Song",,,"2023","120",,"4.28","1146","https://www.goodreads.com/book/show/63246650-red-rising"
"6","Pierce Brown","Science-Fiction","4.37","The Red Rising Trilogy Series Collection #1-3",,,,,"Young Adult","4.63","1288","https://www.goodreads.com/book/show/40238675-the-red-rising-trilogy-series-collection-1-3"
"7","Will Wight","Fantasy","4.38","The Traveler's Gate Trilogy (Traveler's Gate, #1-3)","Traveler's Gate,","1","2015","1218","Young Adult","4.35","3382","https://www.goodreads.com/book/show/25735140-the-traveler-s-gate-trilogy"
"7","Will Wight","Fantasy","4.38","The Crimson Vault (Traveler's Gate, #2)","Traveler's Gate,","2","2013","386","Young Adult","4.18","13666","https://www.goodreads.com/book/show/18310619-the-crimson-vault"
"7","Will Wight","Fantasy","4.38","Gardens of Mist (Traveler's Gate Chronicles, #2)","Traveler&","39","2013","47",,"4.12","1028","https://www.goodreads.com/book/show/20405725-gardens-of-mist"
"7","Will Wight","Fantasy","4.38","House of Blades (Traveler's Gate, #1)","Traveler&","39","2013","294","Young Adult","4.07","18103","https://www.goodreads.com/book/show/18047306-house-of-blades"
"7","Will Wight","Fantasy","4.38","Tower of Winter (Traveler's Gate Chronicles, #1)","Traveler&","39","2013","57",,"4.09","1202","https://www.goodreads.com/book/show/18939185-tower-of-winter"
"7","Will Wight","Fantasy","4.38","City of Light (Traveler's Gate, #3)","Traveler&","39","2014","394","Young Adult","4.16","12118","https://www.goodreads.com/book/show/18400420-city-of-light"
"7","Will Wight","Fantasy","4.38","Of Sea and Shadow (The Elder Empire: Sea, #1)","The Elder Empire: Sea,","1","2014","428",,"4.12","5676","https://www.goodreads.com/book/show/24180564-of-sea-and-shadow"
"7","Will Wight","Fantasy","4.38","Of Dawn and Darkness (The Elder Empire: Sea, #2)","The Elder Empire: Sea,","2","2015","388",,"4.18","3975","https://www.goodreads.com/book/show/28114641-of-dawn-and-darkness"
"7","Will Wight","Fantasy","4.38","Of Kings and Killers (The Elder Empire: Sea, #3)","The Elder Empire: Sea,","3","2020","414","Young Adult","4.3","3179","https://www.goodreads.com/book/show/53241839-of-kings-and-killers"
"7","Will Wight","Fantasy","4.38","Of Shadow and Sea (The Elder Empire: Shadow, #1)","The Elder Empire: Shadow,","1","2014","406","Young Adult","4.03","5512","https://www.goodreads.com/book/show/24180566-of-shadow-and-sea"
"7","Will Wight","Fantasy","4.38","Of Darkness and Dawn (The Elder Empire: Shadow, #2)","The Elder Empire: Shadow,","2","2015","364","Young Adult","4.16","3965","https://www.goodreads.com/book/show/26078884-of-darkness-and-dawn"
"7","Will Wight","Fantasy","4.38","Of Killers and Kings (The Elder Empire: Shadow, #3)","The Elder Empire: Shadow,","3","2020","393","Young Adult","4.25","2940","https://www.goodreads.com/book/show/53241848-of-killers-and-kings"
"7","Will Wight","Fantasy","4.38","The Lightning Wastes (Traveler's Gate Chronicles, #3)","Traveler's Gate Chronicles,","3","2014","57",,"4.21","1004","https://www.goodreads.com/book/show/20693510-the-lightning-wastes"
"7","Will Wight","Fantasy","4.38","Unsouled (Cradle, #1)","Cradle,","1","2016","294","Young Adult","4.15","54637","https://www.goodreads.com/book/show/30558257-unsouled"
"7","Will Wight","Fantasy","4.38","Cradle: Foundation (Cradle, #1-3)","Cradle,","1","2017","1032","Young Adult","4.68","2675","https://www.goodreads.com/book/show/36414251-cradle"
"7","Will Wight","Fantasy","4.38","Soulsmith (Cradle, #2)","Cradle,","2","2016","284","Young Adult","4.33","39647","https://www.goodreads.com/book/show/32283608-soulsmith"
"7","Will Wight","Fantasy","4.38","Blackflame (Cradle, #3)","Cradle,","3","2017","370","Young Adult","4.51","36525","https://www.goodreads.com/book/show/35023786-blackflame"
"7","Will Wight","Fantasy","4.38","Skysworn (Cradle, #4)","Cradle,","4","2017","292","Young Adult","4.38","34427","https://www.goodreads.com/book/show/36332410-skysworn"
"7","Will Wight","Fantasy","4.38","Cradle: Path of Gold (Cradle, #4-6)","Cradle,","4","2020","979","Young Adult","4.75","1545","https://www.goodreads.com/book/show/53471320-cradle"
"7","Will Wight","Fantasy","4.38","Ghostwater (Cradle, #5)","Cradle,","5","2018","310","Young Adult","4.56","33539","https://www.goodreads.com/book/show/40280403-ghostwater"
"7","Will Wight","Fantasy","4.38","Underlord (Cradle, #6)","Cradle,","6","2019","400","Young Adult","4.61","32812","https://www.goodreads.com/book/show/43895031-underlord"
"7","Will Wight","Fantasy","4.38","Uncrowned (Cradle, #7)","Cradle,","7","2019","336","Young Adult","4.57","31664","https://www.goodreads.com/book/show/50789354-uncrowned"
"7","Will Wight","Fantasy","4.38","Cradle: Rise of Lords (Cradle, #7-9)","Cradle,","7","2021","1302","Young Adult","4.76","1055","https://www.goodreads.com/book/show/59421813-cradle"
"7","Will Wight","Fantasy","4.38","Wintersteel (Cradle, #8)","Cradle,","8","2020","540","Young Adult","4.69","30965","https://www.goodreads.com/book/show/55423083-wintersteel"
"7","Will Wight","Fantasy","4.38","Bloodline (Cradle, #9)","Cradle,","9","2021","378","Young Adult","4.5","28652","https://www.goodreads.com/book/show/55595995-bloodline"
"7","Will Wight","Fantasy","4.38","Reaper (Cradle, #10)","Cradle,","10","2021","465","Young Adult","4.66","28096","https://www.goodreads.com/book/show/57640065-reaper"
"7","Will Wight","Fantasy","4.38","Dreadgod (Cradle, #11)","Cradle,","11","2022","464","Young Adult","4.62","25153","https://www.goodreads.com/book/show/59515764-dreadgod"
"7","Will Wight","Fantasy","4.38","Waybound (Cradle, #12)","Cradle,","12","2023","518","Young Adult","4.62","21815","https://www.goodreads.com/book/show/173338910-waybound"
"7","Will Wight","Fantasy","4.38","The Captain (The Last Horizon, #1)","The Last Horizon,","1","2023","467",,"4.27","9406","https://www.goodreads.com/book/show/123165953-the-captain"
"7","Will Wight","Fantasy","4.38","The Engineer (The Last Horizon, #2)","The Last Horizon,","2","2023","419",,"4.42","5813","https://www.goodreads.com/book/show/201127814-the-engineer"
"7","Will Wight","Fantasy","4.38","The Knight (The Last Horizon #3)","The Last Horizon","3","2024","407",,"4.46","4293","https://www.goodreads.com/book/show/213353605-the-knight"
"7","Will Wight","Fantasy","4.38","The Pilot (The Last Horizon #4)","The Last Horizon","4","2025","421",,"4.43","2210","https://www.goodreads.com/book/show/235156795-the-pilot"
"7","Will Wight","Fantasy","4.38","Threshold: Stories from Cradle",,,"2025","386",,"4.47","3597","https://www.goodreads.com/book/show/221722124-threshold"
"8","Kristin Hannah","Other","4.29","Between Sisters",,,"2021","428",,"4.08","111793","https://www.goodreads.com/book/show/217432.Between_Sisters"
"8","Kristin Hannah","Other","4.29","Firefly Lane (Firefly Lane, #1)","Firefly Lane,","1","2021","479",,"4.2","466353","https://www.goodreads.com/book/show/1472878.Firefly_Lane"
"8","Kristin Hannah","Other","4.29","Fly Away (Firefly Lane, #2)","Firefly Lane,","2","2021","400",,"4.01","164856","https://www.goodreads.com/book/show/16044981-fly-away"
"8","Kristin Hannah","Other","4.29","Home Front",,,"2021","390",,"4.26","215583","https://www.goodreads.com/book/show/12022079-home-front"
"8","Kristin Hannah","Other","4.29","Magic Hour",,,"2021","451",,"4.17","216430","https://www.goodreads.com/book/show/1470232.Magic_Hour"
"8","Kristin Hannah","Other","4.29","Night Road",,,"2021","385",,"4.27","313180","https://www.goodreads.com/book/show/8949352-night-road"
"8","Kristin Hannah","Other","4.29","The Four Winds",,,"2021","464",,"4.3","934462","https://www.goodreads.com/book/show/53138081-the-four-winds"
"8","Kristin Hannah","Other","4.29","The Great Alone",,,"2021","435",,"4.45","1123100","https://www.goodreads.com/book/show/34912895-the-great-alone"
"8","Kristin Hannah","Other","4.29","The Kristin Hannah Collection: Volume 1: Firefly Lane, True Colors, Fly Away",,,"2021","1312",,"4.5","1052","https://www.goodreads.com/book/show/23359254-the-kristin-hannah-collection"
"8","Kristin Hannah","Other","4.29","The Nightingale",,,"2021","440",,"4.64","1984675","https://www.goodreads.com/book/show/21853621-the-nightingale"
"8","Kristin Hannah","Other","4.29","The Things We Do for Love",,,"2021","464",,"4.17","99631","https://www.goodreads.com/book/show/297134.The_Things_We_Do_for_Love"
"8","Kristin Hannah","Other","4.29","The Women",,,"2021","471",,"4.6","1434016","https://www.goodreads.com/book/show/127305853-the-women"
"8","Kristin Hannah","Other","4.29","True Colors",,,"2021","400",,"4.09","135793","https://www.goodreads.com/book/show/3975186-true-colors"
"8","Kristin Hannah","Other","4.29","Winter Garden",,,"2021","394",,"4.28","400963","https://www.goodreads.com/book/show/6668467-winter-garden"
"9","Stephen        King","Other","4.25","The Dark Man",,,"1969","88",,"4.12","3037","https://www.goodreads.com/book/show/17925150-the-dark-man"
"9","Stephen        King","Other","4.25","’Salem’s Lot",,,"1975","483",,"4.1","645753","https://www.goodreads.com/book/show/11590._Salem_s_Lot"
"9","Stephen        King","Other","4.25","The Shining (The Shining, #1)","The Shining,","1","1977","497",,"4.28","1670413","https://www.goodreads.com/book/show/11588.The_Shining"
"9","Stephen        King","Other","4.25","Doctor Sleep (The Shining, #2)","The Shining,","2","2013","531",,"4.13","290638","https://www.goodreads.com/book/show/16130549-doctor-sleep"
"9","Stephen        King","Other","4.25","Le Fléau 1/2",,,"1978","764",,"4.29","1684","https://www.goodreads.com/book/show/155549.Le_Fl_au_1_2"
"9","Stephen        King","Other","4.25","Le Fléau 2/2",,,"1978","795",,"4.31","1422","https://www.goodreads.com/book/show/155527.Le_Fl_au_2_2"
"9","Stephen        King","Other","4.25","Night Shift",,,"1978","409",,"4.04","195929","https://www.goodreads.com/book/show/10628.Night_Shift"
"9","Stephen        King","Other","4.25","Quitters, Inc",,,"1978","19",,"4.05","9472","https://www.goodreads.com/book/show/11572.Quitters_Inc"
"9","Stephen        King","Other","4.25","The Stand",,,"1978",,,"4.35","822948","https://www.goodreads.com/book/show/87591651-the-stand"
"9","Stephen        King","Other","4.25","Dark Forces: New Stories of Suspense and Supernatural Horror",,,"1980","551",,"4.08","2899","https://www.goodreads.com/book/show/973196.Dark_Forces"
"9","Stephen        King","Other","4.25","The Jaunt",,,"1981","25",,"4.17","5653","https://www.goodreads.com/book/show/52317884-the-jaunt"
"9","Stephen        King","Other","4.25","Creepshow",,,"1982","66",,"4.07","39202","https://www.goodreads.com/book/show/11580.Creepshow"
"9","Stephen        King","Other","4.25","Different Seasons",,,"1982","560",,"4.36","218924","https://www.goodreads.com/book/show/39662.Different_Seasons"
"9","Stephen        King","Other","4.25","Las cuatro estaciones: primavera/verano",,,"1982","354",,"4.2","2223","https://www.goodreads.com/book/show/17225778-las-cuatro-estaciones"
"9","Stephen        King","Other","4.25","Rita Hayworth and Shawshank Redemption",,,"1982","181",,"4.49","59905","https://www.goodreads.com/book/show/39664.Rita_Hayworth_and_Shawshank_Redemption"
"9","Stephen        King","Other","4.25","The Body",,,"1982","192","Young Adult","4.02","34982","https://www.goodreads.com/book/show/38926465-the-body"
"9","Stephen        King","Other","4.25","Carrie / 'Salem's Lot / The Shining",,,"1983","1096",,"4.57","20908","https://www.goodreads.com/book/show/5417.Carrie_Salem_s_Lot_The_Shining"
"9","Stephen        King","Other","4.25","Pet Sematary",,,"1983","580",,"4.08","681171","https://www.goodreads.com/book/show/33124137-pet-sematary"
"9","Stephen        King","Other","4.25","Uncle Otto's Truck",,,"1983","27",,"4.33","2551","https://www.goodreads.com/book/show/37541461-uncle-otto-s-truck"
"9","Stephen        King","Other","4.25","The Talisman (The Talisman, #1)","The Talisman,","1","1984","656",,"4.11","139706","https://www.goodreads.com/book/show/59219.The_Talisman"
"9","Stephen        King","Other","4.25","Black House (The Talisman, #2)","The Talisman,","2","2001","659",,"4.04","68181","https://www.goodreads.com/book/show/10607.Black_House"
"9","Stephen        King","Other","4.25","Selections from Skeleton Crew",,,"1985","4",,"4.31","9223","https://www.goodreads.com/book/show/666371.Selections_from_Skeleton_Crew"
"9","Stephen        King","Other","4.25","Ça, Tome 1",,,"1986","799",,"4.21","3107","https://www.goodreads.com/book/show/155512._a_Tome_1"
"9","Stephen        King","Other","4.25","Ça, Tome 2",,,"1986","638",,"4.18","2285","https://www.goodreads.com/book/show/155711._a_Tome_2"
"9","Stephen        King","Other","4.25","It",,,"1986","1184",,"4.24","1242498","https://www.goodreads.com/book/show/830502.It"
"9","Stephen        King","Other","4.25","Misery",,,"1987","370",,"4.23","828442","https://www.goodreads.com/book/show/10614.Misery"
"9","Stephen        King","Other","4.25","The Drawing of the Three (The Dark Tower, #2)","The Dark Tower,","2","1987","463",,"4.24","285900","https://www.goodreads.com/book/show/5094.The_Drawing_of_the_Three"
"9","Stephen        King","Other","4.25","The Waste Lands (The Dark Tower, #3)","The Dark Tower,","3","1991","422",,"4.25","243806","https://www.goodreads.com/book/show/34084.The_Waste_Lands"
"9","Stephen        King","Other","4.25","Wizard and Glass (The Dark Tower, #4)","The Dark Tower,","4","1997","896",,"4.27","217063","https://www.goodreads.com/book/show/5096.Wizard_and_Glass"
"9","Stephen        King","Other","4.25","The Wind Through the Keyhole (The Dark Tower, #4.5)","The Dark Tower,","4.5","2012","322",,"4.14","92030","https://www.goodreads.com/book/show/12341557-the-wind-through-the-keyhole"
"9","Stephen        King","Other","4.25","Wolves of the Calla (The Dark Tower, #5)","The Dark Tower,","5","2003","960",,"4.2","199343","https://www.goodreads.com/book/show/4978.Wolves_of_the_Calla"
"9","Stephen        King","Other","4.25","Song of Susannah (The Dark Tower, #6)","The Dark Tower,","6","2004","544",,"4","173189","https://www.goodreads.com/book/show/5093.Song_of_Susannah"
"9","Stephen        King","Other","4.25","The Dark Tower (The Dark Tower, #7)","The Dark Tower,","7","2004","1050",,"4.29","187212","https://www.goodreads.com/book/show/5091.The_Dark_Tower"
"9","Stephen        King","Other","4.25","It/The Eyes of the Dragon/Misery",,,"1988",,,"4.61","2938","https://www.goodreads.com/book/show/2239777.It_The_Eyes_of_the_Dragon_Misery"
"9","Stephen        King","Other","4.25","The Dark Tower #1-3",,,"1991","1008",,"4.46","8585","https://www.goodreads.com/book/show/458450.The_Dark_Tower_1_3"
"9","Stephen        King","Other","4.25","Nightmares & Dreamscapes, Volume I",,,"1993",,,"4.08","1282","https://www.goodreads.com/book/show/5631481-nightmares-dreamscapes-volume-i"
"9","Stephen        King","Other","4.25","Desperation / The Regulators: Box Set",,,"1996","1075",,"4.21","8557","https://www.goodreads.com/book/show/32715.Desperation_The_Regulators"
"9","Stephen        King","Other","4.25","Dolores Claiborne/Insomnia/Rose Madder",,,"1996",,,"4.45","3258","https://www.goodreads.com/book/show/102418.Dolores_Claiborne_Insomnia_Rose_Madder"
"9","Stephen        King","Other","4.25","The Green Mile",,,"1996","592",,"4.49","356362","https://www.goodreads.com/book/show/11566.The_Green_Mile"
"9","Stephen        King","Other","4.25","The Two Dead Girls (The Green Mile, #1)","The Green Mile,","1","1996","92",,"4.5","38144","https://www.goodreads.com/book/show/92227.The_Two_Dead_Girls"
"9","Stephen        King","Other","4.25","The Mouse on the Mile (The Green Mile, #2)","The Green Mile,","2","1996","92",,"4.47","18232","https://www.goodreads.com/book/show/228194.The_Mouse_on_the_Mile"
"9","Stephen        King","Other","4.25","Coffey's Hands (The Green Mile, #3)","The Green Mile,","3","1996","90",,"4.51","18629","https://www.goodreads.com/book/show/228198.Coffey_s_Hands"
"9","Stephen        King","Other","4.25","The Bad Death of Eduard Delacroix (The Green Mile, #4)","The Green Mile,","4","1996","90",,"4.54","18568","https://www.goodreads.com/book/show/228199.The_Bad_Death_of_Eduard_Delacroix"
"9","Stephen        King","Other","4.25","Night Journey (The Green Mile, #5)","The Green Mile,","5","1996","90",,"4.53","16923","https://www.goodreads.com/book/show/228200.Night_Journey"
"9","Stephen        King","Other","4.25","Coffey on the Mile (The Green Mile, #6)","The Green Mile,","6","1996","138",,"4.59","18111","https://www.goodreads.com/book/show/71823.Coffey_on_the_Mile"
"9","Stephen        King","Other","4.25","The Little Sisters of Eluria",,,"1998","312",,"4.18","21854","https://www.goodreads.com/book/show/6356190-the-little-sisters-of-eluria"
"9","Stephen        King","Other","4.25","Jerusalem's Lot",,,"2000","54",,"4.06","5709","https://www.goodreads.com/book/show/36002545-jerusalem-s-lot"
"9","Stephen        King","Other","4.25","On Writing: A Memoir of the Craft",,,"2000","320",,"4.34","313507","https://www.goodreads.com/book/show/10569.On_Writing"
"9","Stephen        King","Other","4.25","The Dark Tower",,,"2002",,,"4.5","5026","https://www.goodreads.com/book/show/5092.The_Dark_Tower"
"9","Stephen        King","Other","4.25","The Talisman and Black House",,,"2002",,,"4.45","4259","https://www.goodreads.com/book/show/97126.The_Talisman_and_Black_House"
"9","Stephen        King","Other","4.25","The Dark Tower Series: Books 1-7",,,"2005","3914",,"4.62","12668","https://www.goodreads.com/book/show/12274389-the-dark-tower-series"
"9","Stephen        King","Other","4.25","The Talisman (Volume 1): The Road of Trials",,,"2009","160",,"4.34","13368","https://www.goodreads.com/book/show/6907672-the-talisman-volume-1"
"9","Stephen        King","Other","4.25","Under the Dome: Part One",,,"2009","656",,"4.05","11410","https://www.goodreads.com/book/show/18528452-under-the-dome"
"9","Stephen        King","Other","4.25","Under the Dome: Part Two",,,"2009","624",,"4.08","3980","https://www.goodreads.com/book/show/18528453-under-the-dome"
"9","Stephen        King","Other","4.25","11/22/63",,,"2011","849",,"4.35","629395","https://www.goodreads.com/book/show/10644930-11-22-63"
"9","Stephen        King","Other","4.25","Full Dark, No Stars",,,"2011","368",,"4.08","116679","https://www.goodreads.com/book/show/7912007-full-dark-no-stars"
"9","Stephen        King","Other","4.25","Mr. Mercedes (Bill Hodges Trilogy, #1)","Bill Hodges Trilogy,","1","2014","437",,"4.04","367735","https://www.goodreads.com/book/show/18775247-mr-mercedes"
"9","Stephen        King","Other","4.25","Finders Keepers (Bill Hodges Trilogy, #2)","Bill Hodges Trilogy,","2","2015","434",,"4.07","183441","https://www.goodreads.com/book/show/23492589-finders-keepers"
"9","Stephen        King","Other","4.25","End of Watch (Bill Hodges Trilogy, #3)","Bill Hodges Trilogy,","3","2016","432",,"4.11","151936","https://www.goodreads.com/book/show/25526965-end-of-watch"
"9","Stephen        King","Other","4.25","The Outsider",,,"2018","561",,"4.01","369576","https://www.goodreads.com/book/show/36124936-the-outsider"
"9","Stephen        King","Other","4.25","The Institute",,,"2019","561",,"4.2","330693","https://www.goodreads.com/book/show/43798285-the-institute"
"9","Stephen        King","Other","4.25","Billy Summers",,,"2021","517",,"4.18","187582","https://www.goodreads.com/book/show/56852407-billy-summers"
"9","Stephen        King","Other","4.25","Fairy Tale",,,"2022","607",,"4.09","328570","https://www.goodreads.com/book/show/60177373-fairy-tale"
"9","Stephen        King","Other","4.25","Gwendy's Final Task (The Button Box, #3)","The Button Box,","3","2022","288",,"4.05","21828","https://www.goodreads.com/book/show/59366265-gwendy-s-final-task"
"9","Stephen        King","Other","4.25","The Gwendy Collection: Gwendy's Button Box / Gwendy's Magic Feather / Gwendy's Final Task",,,"2022","688",,"4.13","1191","https://www.goodreads.com/book/show/60321051-the-gwendy-collection"
"9","Stephen        King","Other","4.25","Holly (Holly Gibney, #3)","Holly Gibney,","3","2023","449",,"4.07","178912","https://www.goodreads.com/book/show/65916344-holly"
"9","Stephen        King","Other","4.25","You Like It Darker",,,"2024","512",,"4.2","79506","https://www.goodreads.com/book/show/201242757-you-like-it-darker"
"9","Stephen        King","Other","4.25","Hansel and Gretel",,,"2025","48","Children","4.04","3710","https://www.goodreads.com/book/show/222156823-hansel-and-gretel"
"9","Stephen        King","Other","4.25","11/22/63 上",,,,"529",,"4.38","2649","https://www.goodreads.com/book/show/20980228-11-22-63"
"9","Stephen        King","Other","4.25","Everything's Eventual: 5 Dark Tales",,,,"8",,"4.08","2579","https://www.goodreads.com/book/show/866502.Everything_s_Eventual"
"9","Stephen        King","Other","4.25","Gwendy's Button Box + ""The Music Room""",,,,"3",,"4.04","1145","https://www.goodreads.com/book/show/35120962-gwendy-s-button-box-the-music-room"
"9","Stephen        King","Other","4.25","Needful Things",,,,,,"4.15","1111","https://www.goodreads.com/book/show/1011198.Needful_Things"
"9","Stephen        King","Other","4.25","Pet Sematary / Carrie / Nightshift",,,,"1",,"4.3","3758","https://www.goodreads.com/book/show/860613.Pet_Sematary_Carrie_Nightshift"
"9","Stephen        King","Other","4.25","The Bill Hodges Trilogy",,,,"1344",,"4.47","1034","https://www.goodreads.com/book/show/27406812-the-bill-hodges-trilogy"
"9","Stephen        King","Other","4.25","The Life of Chuck",,,,"58",,"4.03","9120","https://www.goodreads.com/book/show/57213544-the-life-of-chuck"
